latitude,longitude,dataset_type,gcc_objectid,gcc_zone,gcc_ward,gcc_location,nearest_drain_distance_km,drain_width_m,drain_depth_m,drain_length_km,drain_type,water_flow,drain_status,drain_size_raw,drain_width_raw,drain_depth_raw,drain_length_raw_m,drain_width_source,drain_depth_source,drain_length_source,geometry_length_m,distance_to_drain_m
12.9,80.1,BACKGROUND,7444,N14,191,"Jalladianpet, Chennai",10.284995,0.3,0.3,0.225224,SIDE_DRAIN,YES,GOOD,0.30 x 0.30,0.3,0.3,225.224,drain_size,drain_size,drain_len,225.224,10284.995
12.9,80.16,BACKGROUND,7444,N14,191,"Jalladianpet, Chennai",3.901578,0.3,0.3,0.225224,SIDE_DRAIN,YES,GOOD,0.30 x 0.30,0.3,0.3,225.224,drain_size,drain_size,drain_len,225.224,3901.578
12.9,80.22,BACKGROUND,7815,N15,199,"Sholinganallur, Chennai",0.346387,0.75,0.75,0.241122,SIDE_DRAIN,YES,GOOD,0.75 x 0.75,0.75,0.75,241.122,drain_size,drain_size,drain_len,241.122,346.387
12.9,80.28,BACKGROUND,7664,N15,194,"Injambakkam, Chennai",3.395331,0.75,0.75,0.217576,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,217.576101773,drain_size,drain_size,drain_len,217.576,3395.331
12.9,80.345,BACKGROUND,7664,N15,194,"Injambakkam, Chennai",9.822394,0.75,0.75,0.217576,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,217.576101773,drain_size,drain_size,drain_len,217.576,9822.394
12.905,80.15,BACKGROUND,7444,N14,191,"Jalladianpet, Chennai",4.834169,0.3,0.3,0.225224,SIDE_DRAIN,YES,GOOD,0.30 x 0.30,0.3,0.3,225.224,drain_size,drain_size,drain_len,225.224,4834.169
12.905,80.215,BACKGROUND,7815,N15,199,"Sholinganallur, Chennai",1.119192,0.75,0.75,0.241122,SIDE_DRAIN,YES,GOOD,0.75 x 0.75,0.75,0.75,241.122,drain_size,drain_size,drain_len,241.122,1119.192
12.905,80.28,BACKGROUND,7664,N15,194,"Injambakkam, Chennai",3.047986,0.75,0.75,0.217576,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,217.576101773,drain_size,drain_size,drain_len,217.576,3047.986
12.905,80.34,BACKGROUND,7664,N15,194,"Injambakkam, Chennai",9.174457,0.75,0.75,0.217576,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,217.576101773,drain_size,drain_size,drain_len,217.576,9174.457
12.91,80.145,BACKGROUND,7444,N14,191,"Jalladianpet, Chennai",5.329772,0.3,0.3,0.225224,SIDE_DRAIN,YES,GOOD,0.30 x 0.30,0.3,0.3,225.224,drain_size,drain_size,drain_len,225.224,5329.772
12.91,80.22,BACKGROUND,7808,N15,198,"Sholinganallur, Chennai",1.002207,0.6,0.6,0.354829,SIDE_DRAIN,YES,GOOD,0.60 x 0.60,0.6,0.6,354.82867821,drain_size,drain_size,drain_len,354.829,1002.207
12.91,80.295,BACKGROUND,7664,N15,194,"Injambakkam, Chennai",4.294217,0.75,0.75,0.217576,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,217.576101773,drain_size,drain_size,drain_len,217.576,4294.217
12.915,80.1,BACKGROUND,7444,N14,191,"Jalladianpet, Chennai",10.219046,0.3,0.3,0.225224,SIDE_DRAIN,YES,GOOD,0.30 x 0.30,0.3,0.3,225.224,drain_size,drain_size,drain_len,225.224,10219.046
12.915,80.16,BACKGROUND,7444,N14,191,"Jalladianpet, Chennai",3.724985,0.3,0.3,0.225224,SIDE_DRAIN,YES,GOOD,0.30 x 0.30,0.3,0.3,225.224,drain_size,drain_size,drain_len,225.224,3724.985
12.915,80.255,BACKGROUND,7664,N15,194,"Injambakkam, Chennai",0.575813,0.75,0.75,0.217576,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,217.576101773,drain_size,drain_size,drain_len,217.576,575.813
12.915,80.315,BACKGROUND,7664,N15,194,"Injambakkam, Chennai",6.32636,0.75,0.75,0.217576,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,217.576101773,drain_size,drain_size,drain_len,217.576,6326.36
12.92,80.12,BACKGROUND,7444,N14,191,"Jalladianpet, Chennai",8.09946,0.3,0.3,0.225224,SIDE_DRAIN,YES,GOOD,0.30 x 0.30,0.3,0.3,225.224,drain_size,drain_size,drain_len,225.224,8099.46
12.92,80.18,BACKGROUND,7448,N14,191,"Jalladianpet, Chennai",1.798119,0.7,0.7,0.042043,SIDE_DRAIN,YES,GOOD,0.70 x 0.70,0.7,0.7,42.043,drain_size,drain_size,drain_len,42.043,1798.119
12.92,80.25,BACKGROUND,7661,N15,194,"Injambakkam, Chennai",0.404719,1.07,1.07,0.376299,SWD,YES,GOOD,1.07 x 1.07,1.07,1.07,376.298827707,drain_size,drain_size,drain_len,376.299,404.719
12.92,80.31,BACKGROUND,7664,N15,194,"Injambakkam, Chennai",5.751508,0.75,0.75,0.217576,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,217.576101773,drain_size,drain_size,drain_len,217.576,5751.508
12.925,80.115,BACKGROUND,4244,N12,159,"Meenambakkam, Chennai",8.419262,1.65,1.65,1.140986,SWD,YES,GOOD,1.65 x 1.65,1.65,1.65,1140.98597245,drain_size,drain_size,drain_len,1140.986,8419.262
12.925,80.18,BACKGROUND,7418,N14,190,"Jalladianpet, Chennai",1.883621,1.51,1.51,1.611079,SWD,YES,GOOD,1.51 x 1.51,1.51,1.51,1611.079,drain_size,drain_size,drain_len,1611.079,1883.621
12.925,80.25,BACKGROUND,7677,N15,194,"Injambakkam, Chennai",0.105948,1.45,1.45,0.67071,SWD,YES,GOOD,1.45 x 1.45,1.45,1.45,670.710186999,drain_size,drain_size,drain_len,670.71,105.948
12.925,80.31,BACKGROUND,7664,N15,194,"Injambakkam, Chennai",5.768999,0.75,0.75,0.217576,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,217.576101773,drain_size,drain_size,drain_len,217.576,5768.999
12.93,80.115,BACKGROUND,4244,N12,159,"Meenambakkam, Chennai",8.017697,1.65,1.65,1.140986,SWD,YES,GOOD,1.65 x 1.65,1.65,1.65,1140.98597245,drain_size,drain_size,drain_len,1140.986,8017.697
12.93,80.18,BACKGROUND,7418,N14,190,"Jalladianpet, Chennai",1.926163,1.51,1.51,1.611079,SWD,YES,GOOD,1.51 x 1.51,1.51,1.51,1611.079,drain_size,drain_size,drain_len,1611.079,1926.163
