latitude,longitude,dataset_type,gcc_objectid,gcc_zone,gcc_ward,gcc_location,nearest_drain_distance_km,drain_width_m,drain_depth_m,drain_length_km,drain_type,water_flow,drain_status,drain_size_raw,drain_width_raw,drain_depth_raw,drain_length_raw_m,drain_width_source,drain_depth_source,drain_length_source,geometry_length_m,distance_to_drain_m
12.99890552,80.207447,FLOOD,4460,N12,161,"Alandur, Chennai",0.000763,1.2,1.2,0.240838,SWD,YES,GOOD,1.20 x 1.20,1.2,1.2,240.838491246,drain_size,drain_size,drain_len,240.838,0.763
12.99925997,80.2075221,FLOOD,5475,N13,172,"Guindy, Chennai",0.002634,1.61,1.61,0.655931,SWD,YES,GOOD,1.61 x 1.61,1.61,1.61,655.930972645,drain_size,drain_size,drain_len,655.931,2.634
13.00254573,80.2087814,FLOOD,5475,N13,172,"Guindy, Chennai",0.003311,1.61,1.61,0.655931,SWD,YES,GOOD,1.61 x 1.61,1.61,1.61,655.930972645,drain_size,drain_size,drain_len,655.931,3.311
12.99995025,80.20772696,FLOOD,5475,N13,172,"Guindy, Chennai",0.002798,1.61,1.61,0.655931,SWD,YES,GOOD,1.61 x 1.61,1.61,1.61,655.930972645,drain_size,drain_size,drain_len,655.931,2.798
12.97839607,80.20419817,FLOOD,6973,N14,186,"Puzhuthivakkam, Chennai",0.04716,1.05,1.05,0.152648,SWD,YES,GOOD,1.05 x 1.05,1.05,1.05,152.647797932,drain_size,drain_size,drain_len,152.648,47.16
12.97323496,80.21074276,FLOOD,5863,N13,176,"Velachery AGS Colony, Chennai",0.073999,1.16,1.16,0.064949,SWD,YES,GOOD,1.16 x 1.16,1.16,1.16,64.948977467,drain_size,drain_size,drain_len,64.949,73.999
12.96137578,80.21517478,FLOOD,7319,N14,188,"Madipakkam, Chennai",0.025466,1.85,1.85,1.802702,SWD,YES,GOOD,1.85 x 1.85,1.85,1.85,1802.70195857,drain_size,drain_size,drain_len,1802.702,25.466
12.95736183,80.21355975,FLOOD,7319,N14,188,"Madipakkam, Chennai",0.023869,1.85,1.85,1.802702,SWD,YES,GOOD,1.85 x 1.85,1.85,1.85,1802.70195857,drain_size,drain_size,drain_len,1802.702,23.869
12.97256094,80.21946564,FLOOD,5961,N13,177,"Velachery, Chennai",0.03793,0.985,0.985,0.221554,SWD,YES,GOOD,0.985 x 0.985,9.85,9.85,221.553803261,drain_size,drain_size,drain_len,221.554,37.93
12.97270535,80.21950521,FLOOD,5961,N13,177,"Velachery, Chennai",0.049736,0.985,0.985,0.221554,SWD,YES,GOOD,0.985 x 0.985,9.85,9.85,221.553803261,drain_size,drain_size,drain_len,221.554,49.736
