latitude,longitude,elevation_m
12.99890552,80.207447,12.0
12.99925997,80.2075221,13.0
13.00254573,80.2087814,13.0
12.99995025,80.20772696,13.0
12.97839607,80.20419817,8.0
12.97323496,80.21074276,5.0
12.96137578,80.21517478,5.0
12.95736183,80.21355975,4.0
12.97256094,80.21946564,9.0
12.97270535,80.21950521,9.0
12.97379299,80.21866065,9.0
12.97547983,80.22072293,9.0
12.97555693,80.22076853,9.0
12.97610941,80.22118963,9.0
12.97617279,80.22126641,9.0
12.97622572,80.22122987,9.0
12.97753159,80.22123925,12.0
12.97749761,80.22125937,12.0
12.978268,80.22121076,12.0
12.97865319,80.22120036,10.0
12.97996134,80.22106793,9.0
12.98029981,80.22100825,12.0
12.98083365,80.22096667,12.0
12.98094931,80.22101026,12.0
12.98102641,80.22105418,12.0
12.98113324,80.22108268,12.0
12.97438468,80.22041917,11.0
12.9636665,80.21545239,5.0
12.96374525,80.21517377,5.0
12.96467937,80.1961197,14.0
12.96464147,80.19598592,14.0
12.96464669,80.1959135,14.0
12.96515214,80.19233543,15.0
12.96521912,80.19208733,15.0
12.99677716,80.24918921,9.0
12.99670431,80.24920732,9.0
13.00688792,80.24010926,14.0
12.97966665,80.2432156,7.0
12.97832746,80.23890059,6.0
12.97820331,80.23972739,5.0
12.97802003,80.24108056,11.0
12.97807818,80.24142824,11.0
12.9782056,80.24187349,10.0
12.97840391,80.24251923,7.0
12.97853786,80.2430483,7.0
12.97838921,80.24317469,7.0
12.97881099,80.24313781,7.0
12.97835948,80.24098601,8.0
12.97510803,80.24406251,4.0
12.97485907,80.24414532,3.0
12.97464049,80.24420165,5.0
12.93575135,80.23390364,12.0
12.91398442,80.22935662,4.0
12.91143181,80.19584745,17.0
12.91137396,80.1959021,17.0
12.92707258,80.19776087,15.0
12.92773986,80.19821215,14.0
12.9358912,80.20432625,9.0
12.94048943,80.20571563,7.0
12.94122039,80.20599324,7.0
12.95129029,80.21098584,5.0
12.97331664,80.21969497,9.0
12.97614633,80.2198958,9.0
12.97631197,80.21930739,9.0
12.97799422,80.21909986,10.0
12.99742628,80.21617256,15.0
13.00670237,80.21266423,16.0
13.0098038,80.21502256,13.0
12.99558246,80.20116225,12.0
12.99718258,80.2070906,16.0
12.99740962,80.20712782,16.0
12.94871485,80.20184319,2.0
12.94871649,80.20291675,3.0
12.94876125,80.20352729,5.0
12.97255277,80.19142818,14.0
12.98530135,80.17683998,18.0
12.98922501,80.18541198,17.0
12.97686869,80.1935022,11.0
12.97770834,80.19380596,12.0
12.97949839,80.19460358,12.0
12.98092971,80.19526441,11.0
12.98199608,80.19589942,12.0
12.95934218,80.24459191,10.0
12.95902296,80.24447858,8.0
12.95875634,80.24434246,8.0
12.96233213,80.24597425,6.0
13.03326511,80.20966519,13.0
13.03337878,80.20970542,13.0
13.03347906,80.20972352,13.0
13.03314752,80.20967625,13.0
13.03524944,80.20977851,16.0
13.03509069,80.20992771,16.0
13.03666573,80.21224346,18.0
13.03682611,80.21225151,18.0
13.03689078,80.21223843,18.0
13.03706226,80.21225553,18.0
13.03737681,80.21225922,18.0
13.03765445,80.21225452,17.0
13.03690417,80.21207515,18.0
13.03554962,80.20695616,15.0
13.0356316,80.20589802,14.0
13.03607256,80.20274777,17.0
13.03663405,80.19968636,16.0
13.0372798,80.19529894,15.0
13.03729809,80.20456363,16.0
13.04049353,80.20510074,17.0
13.03851317,80.2084877,17.0
13.04044258,80.20873312,16.0
13.04134636,80.20884611,16.0
13.04187713,80.20896513,14.0
13.04313399,80.2091093,15.0
13.03779327,80.21318257,14.0
13.03841877,80.21368448,16.0
13.03906975,80.21412872,16.0
13.03939311,80.21418136,15.0
13.03987947,80.21467086,15.0
13.04052979,80.21511275,15.0
13.04337308,80.21982808,15.0
13.04304286,80.22149339,15.0
13.04204894,80.22540171,16.0
13.04179743,80.22642028,15.0
13.04126503,80.22883125,16.0
13.04224263,80.22493768,15.0
13.04531127,80.22578862,15.0
13.04620557,80.2260793,14.0
13.04669354,80.22620972,15.0
13.0467471,80.22603907,15.0
13.04743791,80.23296855,12.0
13.04691597,80.23300476,12.0
13.0435978,80.2324757,14.0
13.04528841,80.23285322,13.0
13.04845337,80.23321934,16.0
13.05005478,80.23341246,13.0
13.05311549,80.23425534,14.0
13.04524954,80.24009485,11.0
13.04495068,80.24028931,11.0
13.04463679,80.23957115,17.0
13.03507697,80.23046203,13.0
13.03451026,80.23039967,10.0
13.03510898,80.23011334,13.0
13.03695578,80.23604203,13.0
13.03987881,80.24318475,14.0
13.05355413,80.23588646,15.0
13.05406887,80.22836655,13.0
13.05374324,80.22576313,18.0
13.05082494,80.21998633,15.0
13.04747841,80.21900799,16.0
13.04405802,80.21764576,14.0
13.05184169,80.21855704,14.0
13.0509079,80.21579504,17.0
13.05013643,80.21369621,16.0
13.16460964,80.20662121,15.0
13.16327701,80.20877436,11.0
13.16212262,80.20877671,12.0
13.16246639,80.20876497,12.0
13.16081641,80.20790633,13.0
13.15282364,80.20872172,13.0
13.1449155,80.22320095,10.0
13.14405618,80.25435783,7.0
13.14471961,80.25442421,6.0
13.15392127,80.25701355,5.0
13.15396535,80.25743734,5.0
13.15609627,80.26105799,4.0
13.15319551,80.25757045,7.0
13.15147332,80.25796104,10.0
13.14891401,80.25815751,11.0
13.14999239,80.25844619,8.0
13.13087859,80.2007921,11.0
13.13325688,80.1941523,11.0
13.12972731,80.19382339,11.0
13.14536116,80.2189292,9.0
13.14618686,80.21778021,9.0
13.14198196,80.1855481,15.0
13.14069426,80.18615294,14.0
13.1321301,80.1708952,21.0
13.12221384,80.16743749,15.0
13.1195037,80.16857006,15.0
13.11734406,80.16902804,15.0
13.12338344,80.20153608,12.0
13.01543879,80.18901352,17.0
13.01595361,80.18160861,11.0
13.100092,80.16768359,17.0
13.09961687,80.17087173,20.0
13.0995692,80.17204821,20.0
13.10198468,80.21483783,15.0
13.1026208,80.20937316,14.0
13.10560967,80.20929169,17.0
13.10556951,80.21083999,15.0
13.10585295,80.20727534,14.0
13.10530468,80.20719118,15.0
13.10560053,80.20713653,15.0
13.11413949,80.19854844,13.0
12.9,80.1,29.0
12.9,80.16,19.0
12.9,80.22,2.0
12.9,80.28,0.0
12.9,80.345,0.0
12.905,80.15,25.0
12.905,80.215,3.0
12.905,80.28,0.0
12.905,80.34,0.0
12.91,80.145,29.0
12.91,80.22,3.0
12.91,80.295,0.0
12.915,80.1,22.0
12.915,80.16,18.0
12.915,80.255,6.0
12.915,80.315,0.0
12.92,80.12,41.0
12.92,80.18,20.0
12.92,80.25,9.0
12.92,80.31,0.0
12.925,80.115,35.0
12.925,80.18,21.0
12.925,80.25,6.0
12.925,80.31,0.0
12.93,80.115,34.0
12.93,80.18,19.0
12.93,80.26,0.0
12.93,80.32,0.0
12.935,80.13,30.0
12.935,80.19,10.0
12.935,80.28,0.0
12.935,80.34,0.0
12.94,80.15,28.0
12.94,80.225,2.0
12.94,80.295,0.0
12.945,80.105,15.0
12.945,80.165,13.0
12.945,80.24,8.0
12.945,80.3,0.0
12.95,80.11,23.0
12.95,80.17,10.0
12.95,80.25,6.0
12.95,80.315,0.0
12.955,80.12,18.0
12.955,80.18,11.0
12.955,80.28,0.0
12.955,80.345,0.0
12.96,80.15,21.0
12.96,80.255,5.0
12.96,80.32,0.0
12.965,80.125,19.0
12.965,80.185,15.0
12.965,80.29,0.0
12.97,80.1,17.0
12.97,80.16,140.0
12.97,80.27,0.0
12.97,80.335,0.0
12.975,80.14,21.0
12.975,80.265,12.0
12.975,80.325,0.0
12.98,80.135,21.0
12.98,80.265,12.0
12.98,80.325,0.0
12.985,80.135,14.0
12.985,80.255,10.0
12.985,80.315,0.0
12.99,80.125,12.0
12.99,80.215,11.0
12.99,80.275,0.0
12.99,80.335,0.0
12.995,80.145,8.0
12.995,80.24,15.0
12.995,80.315,0.0
13.0,80.125,16.0
13.0,80.185,22.0
13.0,80.285,0.0
13.0,80.345,0.0
13.005,80.155,12.0
13.005,80.23,18.0
13.005,80.305,0.0
13.01,80.115,21.0
13.01,80.175,12.0
13.01,80.28,0.0
13.01,80.34,0.0
13.015,80.15,16.0
13.015,80.24,14.0
13.015,80.3,0.0
13.02,80.11,22.0
13.02,80.17,16.0
13.02,80.245,11.0
13.02,80.305,0.0
13.025,80.115,20.0
13.025,80.175,15.0
13.025,80.235,11.0
13.025,80.3,0.0
13.03,80.105,22.0
13.03,80.165,20.0
13.03,80.255,13.0
13.03,80.32,0.0
13.035,80.125,22.0
13.035,80.185,16.0
13.035,80.305,0.0
13.04,80.11,22.0
13.04,80.17,19.0
13.04,80.295,0.0
13.045,80.105,23.0
13.045,80.165,16.0
13.045,80.275,9.0
13.045,80.34,0.0
13.05,80.145,15.0
13.05,80.205,18.0
13.05,80.305,0.0
13.055,80.115,25.0
13.055,80.175,14.0
13.055,80.27,13.0
13.055,80.335,0.0
13.06,80.14,18.0
13.06,80.2,14.0
13.06,80.275,13.0
13.06,80.34,0.0
13.065,80.145,16.0
13.065,80.205,12.0
13.065,80.27,11.0
13.065,80.33,0.0
13.07,80.135,14.0
13.07,80.195,13.0
13.07,80.26,13.0
13.07,80.32,0.0
13.075,80.125,19.0
13.075,80.19,18.0
13.075,80.25,9.0
13.075,80.31,0.0
13.08,80.12,21.0
13.08,80.18,17.0
13.08,80.24,13.0
13.08,80.3,0.0
13.085,80.11,25.0
13.085,80.17,17.0
13.085,80.23,14.0
13.085,80.295,0.0
13.09,80.1,26.0
13.09,80.16,18.0
13.09,80.22,14.0
13.09,80.285,11.0
13.09,80.345,0.0
13.095,80.15,19.0
13.095,80.23,14.0
13.095,80.29,16.0
13.095,80.35,0.0
13.1,80.155,14.0
13.1,80.255,6.0
13.1,80.315,0.0
13.105,80.12,21.0
13.105,80.2,16.0
13.105,80.28,7.0
13.105,80.34,0.0
13.11,80.145,17.0
13.11,80.235,12.0
13.11,80.295,11.0
13.115,80.1,30.0
13.115,80.18,13.0
13.115,80.255,9.0
13.115,80.315,0.0
13.12,80.12,25.0
13.12,80.21,15.0
13.12,80.27,3.0
13.12,80.33,0.0
13.125,80.14,22.0
13.125,80.23,12.0
13.125,80.29,12.0
13.125,80.35,0.0
13.13,80.16,24.0
13.13,80.255,10.0
13.13,80.315,0.0
13.135,80.125,29.0
13.135,80.225,9.0
13.135,80.285,4.0
13.135,80.345,0.0
13.14,80.155,18.0
13.14,80.245,10.0
13.14,80.315,0.0
13.145,80.125,23.0
13.145,80.2,12.0
13.145,80.295,9.0
13.15,80.1,23.0
13.15,80.165,13.0
13.15,80.25,12.0
13.15,80.325,0.0
13.155,80.135,18.0
13.155,80.195,21.0
13.155,80.285,4.0
13.155,80.35,0.0
