latitude,longitude,nearest_drain_distance_km,drain_width_m,drain_depth_m,drain_length_km,drain_type,water_flow,drain_status,target,elevation_m
12.99890552,80.207447,0.000763,1.2,1.2,0.240838,SWD,YES,GOOD,1,12.0
12.99925997,80.2075221,0.002634,1.61,1.61,0.655931,SWD,YES,GOOD,1,13.0
13.00254573,80.2087814,0.003311,1.61,1.61,0.655931,SWD,YES,GOOD,1,13.0
12.99995025,80.20772696,0.002798,1.61,1.61,0.655931,SWD,YES,GOOD,1,13.0
12.97839607,80.20419817,0.04716,1.05,1.05,0.152648,SWD,YES,GOOD,1,8.0
12.97323496,80.21074276,0.073999,1.16,1.16,0.064949,SWD,YES,GOOD,1,5.0
12.96137578,80.21517478,0.025466,1.85,1.85,1.802702,SWD,YES,GOOD,1,5.0
12.95736183,80.21355975,0.023869,1.85,1.85,1.802702,SWD,YES,GOOD,1,4.0
12.97256094,80.21946564,0.03793,0.985,0.985,0.221554,SWD,YES,GOOD,1,9.0
12.97270535,80.21950521,0.049736,0.985,0.985,0.221554,SWD,YES,GOOD,1,9.0
12.97379299,80.21866065,0.004017,1.13,1.13,0.299275,SWD,YES,GOOD,1,9.0
12.97547983,80.22072293,0.027545,0.6,1.8,0.217613,SWD,YES,GOOD,1,9.0
12.97555693,80.22076853,0.036093,0.6,1.8,0.217613,SWD,YES,GOOD,1,9.0
12.97610941,80.22118963,0.08286,0.594,0.594,0.13192,SWD,YES,GOOD,1,9.0
12.97617279,80.22126641,0.0769,0.594,0.594,0.13192,SWD,YES,GOOD,1,9.0
12.97622572,80.22122987,0.082733,0.594,0.594,0.13192,SWD,YES,GOOD,1,9.0
12.97753159,80.22123925,0.022488,1.0804,1.0804,0.188963,SWD,YES,GOOD,1,12.0
12.97749761,80.22125937,0.019339,1.0804,1.0804,0.188963,SWD,YES,GOOD,1,12.0
12.978268,80.22121076,0.092449,1.0804,1.0804,0.188963,SWD,YES,GOOD,1,12.0
12.97865319,80.22120036,0.134238,1.0804,1.0804,0.188963,SWD,YES,GOOD,1,10.0
12.97996134,80.22106793,0.198167,0.6,1.8,0.069025,SWD,YES,BAD,1,9.0
12.98029981,80.22100825,0.200579,0.6,1.8,0.069025,SWD,YES,BAD,1,12.0
12.98083365,80.22096667,0.213233,0.6,1.8,0.069025,SWD,YES,BAD,1,12.0
12.98094931,80.22101026,0.200981,1.065,1.065,0.364639,SWD,YES,GOOD,1,12.0
12.98102641,80.22105418,0.191214,1.065,1.065,0.364639,SWD,YES,GOOD,1,12.0
12.98113324,80.22108268,0.179408,1.065,1.065,0.364639,SWD,YES,GOOD,1,12.0
12.97438468,80.22041917,0.027166,0.6,1.8,0.217613,SWD,YES,GOOD,1,11.0
12.9636665,80.21545239,0.034184,1.85,1.85,1.802702,SWD,YES,GOOD,1,5.0
12.96374525,80.21517377,0.06556,1.85,1.85,1.802702,SWD,YES,GOOD,1,5.0
12.96467937,80.1961197,0.006772,1.25,1.25,0.563936,SWD,YES,GOOD,1,14.0
