latitude,longitude,zone,ward,remarks,inundation_depth_inches,flood_occurred,flood_risk_level,rainfall_mean_mm,rainfall_max_mm,rainfall_median_mm,flood_probability,elevation_m,nearest_drain_distance_km,drain_type,drain_width_m,drain_depth_m,water_flow,drain_status,drain_length_km,drainage_capacity_score
12.99890552,80.207447,,,completely  inundated  with flood water,7.0,1,HIGH,13.65,348.1,5.45,11.67,12.0,0.057061500558064825,SWD,0.67,0.67,Yes,Good,0.074766,4.11
12.99925997,80.2075221,,,partially flooded,6.5,1,HIGH,13.65,348.1,5.45,10.83,13.0,0.09051193238114291,SWD,1.61,1.61,Yes,Good,0.655931,20.45
13.00254573,80.2087814,,,partially flooded,6.0,1,HIGH,13.65,348.1,5.45,10.0,13.0,0.09039891869941458,SWD,0.74,0.74,Yes,Good,0.23826000000000003,7.81
12.99995025,80.20772696,,,partially flooded,6.5,1,HIGH,13.65,348.1,5.45,10.83,13.0,0.012101153131877892,SWD,1.61,1.61,Yes,Good,0.655931,20.45
12.97839607,80.20419817,,,partially  inundated one side of the road,6.5,1,HIGH,13.65,348.1,5.45,10.83,8.0,0.0820491152796663,SWD,1.05,1.05,Yes,Good,0.152648,7.46
12.97323496,80.21074276,,,partially flooded one side of the road,5.5,1,MODERATE,13.65,348.1,5.45,9.17,5.0,0.09640212201696462,SWD,1.16,1.16,Yes,Good,0.06494899999999999,6.15
12.96137578,80.21517478,,,partially inundated on sides of the road,7.0,1,HIGH,13.65,348.1,5.45,11.67,5.0,0.23279152235303918,SWD,1.75,1.75,Yes,Good,0.380823,15.4
12.95736183,80.21355975,,,partially inundated on the side of the road,6.5,1,HIGH,13.65,348.1,5.45,10.83,4.0,0.15091307737421708,SWD,2.2,2.2,Yes,Good,0.210795,13.95
12.97256094,80.21946564,,,partially inundated on the road,6.0,1,HIGH,13.65,348.1,5.45,10.0,9.0,0.09598342462647393,SWD,0.6,1.8,Yes,Good,0.19852,11.81
12.97270535,80.21950521,,,partially inundated on the road,6.0,1,HIGH,13.65,348.1,5.45,10.0,9.0,0.0877412311668086,SWD,0.6,1.8,Yes,Good,0.19852,11.81
12.97379299,80.21866065,,,partially inundated on the road,6.0,1,HIGH,13.65,348.1,5.45,10.0,9.0,0.04787560131675808,SWD,1.2,1.2,Yes,Good,0.05861600000000001,6.21
12.97547983,80.22072293,,,partially inundated on the road,6.5,1,HIGH,13.65,348.1,5.45,10.83,9.0,0.07801506525622007,SWD,0.6,1.8,Yes,Good,0.21761300000000003,12.2
12.97555693,80.22076853,,,partially inundated on the road side,6.0,1,HIGH,13.65,348.1,5.45,10.0,9.0,0.0878424111626557,SWD,0.6,1.8,Yes,Good,0.21761300000000003,12.2
12.97610941,80.22118963,,,partially inundated on the road near bus stand,6.0,1,HIGH,13.65,348.1,5.45,10.0,9.0,0.1167548023647652,SWD,5.94,5.94,Yes,Good,0.13192,29.49
12.97617279,80.22126641,,,partially flooded on the road,5.5,1,MODERATE,13.65,348.1,5.45,9.17,9.0,0.11643404708972453,SWD,5.94,5.94,Yes,Good,0.13192,29.49
